GeneID	EntrezGene	Pathway
6776	L	Pathways in cancer:KEGG-hsa05200
6777	L	Acute myeloid leukemia:KEGG-hsa05221
6777	L	Chemokine signaling pathway:KEGG-hsa04062
6777	L	Chronic myeloid leukemia:KEGG-hsa05220
6777	L	ErbB signaling pathway:KEGG-hsa04012
6777	L	Jak-STAT signaling pathway:KEGG-hsa04630
6777	L	Measles:KEGG-hsa05162
6777	L	Pathways in cancer:KEGG-hsa05200
6772	L	Chemokine signaling pathway:KEGG-hsa04062
6772	L	Hepatitis C:KEGG-hsa05160
6772	L	Jak-STAT signaling pathway:KEGG-hsa04630
6772	L	Leishmaniasis:KEGG-hsa05140
6772	L	Measles:KEGG-hsa05162
6772	L	Osteoclast differentiation:KEGG-hsa04380
6772	L	Pancreatic cancer:KEGG-hsa05212
6772	L	Pathways in cancer:KEGG-hsa05200
6772	L	Toll-like receptor signaling pathway:KEGG-hsa04620
6772	L	Toxoplasmosis:KEGG-hsa05145
6772	L	Tuberculosis:KEGG-hsa05152
6773	L	Chemokine signaling pathway:KEGG-hsa04062
6773	L	Hepatitis C:KEGG-hsa05160
6773	L	Jak-STAT signaling pathway:KEGG-hsa04630
6773	L	Measles:KEGG-hsa05162
6773	L	Osteoclast differentiation:KEGG-hsa04380
574537	L	Ascorbate and aldarate metabolism:KEGG-hsa00053
574537	L	Drug metabolism - cytochrome P450:KEGG-hsa00982
574537	L	Drug metabolism - other enzymes:KEGG-hsa00983
574537	L	Metabolism of xenobiotics by cytochrome P450:KEGG-hsa00980
574537	L	Pentose and glucuronate interconversions:KEGG-hsa00040
574537	L	Porphyrin and chlorophyll metabolism:KEGG-hsa00860
574537	L	Retinol metabolism:KEGG-hsa00830
574537	L	Starch and sucrose metabolism:KEGG-hsa00500
574537	L	Steroid hormone biosynthesis:KEGG-hsa00140
9966	L	Cytokine-cytokine receptor interaction:KEGG-hsa04060
9963	L	Vitamin digestion and absorption:KEGG-hsa04977
392138	L	Olfactory transduction:KEGG-hsa04740
250	L	Folate biosynthesis:KEGG-hsa00790
251	L	Folate biosynthesis:KEGG-hsa00790
55811	L	Purine metabolism:KEGG-hsa00230
55813	L	Ribosome biogenesis in eukaryotes:KEGG-hsa03008
9500	L	Neurotrophin signaling pathway:KEGG-hsa04722
219858	L	Olfactory transduction:KEGG-hsa04740
3689	L	Amoebiasis:KEGG-hsa05146
3689	L	Cell adhesion molecules (CAMs):KEGG-hsa04514
3689	L	Leishmaniasis:KEGG-hsa05140
3689	L	Leukocyte transendothelial migration:KEGG-hsa04670
3689	L	Malaria:KEGG-hsa05144
3689	L	Natural killer cell mediated cytotoxicity:KEGG-hsa04650
3689	L	Phagosome:KEGG-hsa04145
3689	L	Regulation of actin cytoskeleton:KEGG-hsa04810
3689	L	Rheumatoid arthritis:KEGG-hsa05323
3689	L	Staphylococcus aureus infection:KEGG-hsa05150
